date,rate
2017-01-01 ,严重污染 
2017-01-02 ,重度污染 
2017-01-03 ,严重污染 
2017-01-04 ,严重污染 
2017-01-05 ,重度污染 
2017-01-06 ,重度污染 
2017-01-07 ,重度污染 
2017-01-08 ,良 
2017-01-09 ,良 
2017-01-10 ,优 
2017-01-11 ,良 
2017-01-12 ,良 
2017-01-13 ,优 
2017-01-14 ,良 
2017-01-15 ,良 
2017-01-16 ,轻度污染 
2017-01-17 ,中度污染 
2017-01-18 ,良 
2017-01-19 ,良 
2017-01-20 ,优 
2017-01-21 ,优 
2017-01-22 ,良 
2017-01-23 ,良 
2017-01-24 ,轻度污染 
2017-01-25 ,重度污染 
2017-01-26 ,重度污染 
2017-01-27 ,轻度污染 
2017-01-28 ,严重污染 
2017-01-29 ,良 
2017-01-30 ,优 
2017-01-31 ,轻度污染 
2017-02-01 ,良 
2017-02-02 ,轻度污染 
2017-02-03 ,重度污染 
2017-02-04 ,重度污染 
2017-02-05 ,优 
2017-02-06 ,优 
2017-02-07 ,轻度污染 
2017-02-08 ,优 
2017-02-09 ,优 
2017-02-10 ,优 
2017-02-11 ,良 
2017-02-12 ,轻度污染 
2017-02-13 ,轻度污染 
2017-02-14 ,重度污染 
2017-02-15 ,重度污染 
2017-02-16 ,轻度污染 
2017-02-17 ,优 
2017-02-18 ,轻度污染 
2017-02-19 ,轻度污染 
2017-02-20 ,优 
2017-02-21 ,良 
2017-02-22 ,良 
2017-02-23 ,优 
2017-02-24 ,良 
2017-02-25 ,优 
2017-02-26 ,良 
2017-02-27 ,良 
2017-02-28 ,优 
2017-03-01 ,优 
2017-03-02 ,良 
2017-03-03 ,轻度污染 
2017-03-04 ,轻度污染 
2017-03-05 ,优 
2017-03-06 ,优 
2017-03-07 ,优 
2017-03-08 ,优 
2017-03-09 ,优 
2017-03-10 ,良 
2017-03-11 ,良 
2017-03-12 ,优 
2017-03-13 ,优 
2017-03-14 ,良 
2017-03-15 ,良 
2017-03-16 ,轻度污染 
2017-03-17 ,中度污染 
2017-03-18 ,中度污染 
2017-03-19 ,重度污染 
2017-03-20 ,中度污染 
2017-03-21 ,轻度污染 
2017-03-22 ,中度污染 
2017-03-23 ,中度污染 
2017-03-24 ,良 
2017-03-25 ,优 
2017-03-26 ,优 
2017-03-27 ,优 
2017-03-28 ,良 
2017-03-29 ,轻度污染 
2017-03-30 ,轻度污染 
2017-03-31 ,优 
2017-04-01 ,良 
2017-04-02 ,良 
2017-04-03 ,中度污染 
2017-04-04 ,中度污染 
2017-04-05 ,良 
2017-04-06 ,轻度污染 
2017-04-07 ,轻度污染 
2017-04-08 ,轻度污染 
2017-04-09 ,良 
2017-04-10 ,良 
2017-04-11 ,良 
2017-04-12 ,良 
2017-04-13 ,良 
2017-04-14 ,良 
2017-04-15 ,良 
2017-04-16 ,轻度污染 
2017-04-17 ,中度污染 
2017-04-18 ,良 
2017-04-19 ,良 
2017-04-20 ,良 
2017-04-21 ,良 
2017-04-22 ,良 
2017-04-23 ,良 
2017-04-24 ,良 
2017-04-25 ,优 
2017-04-26 ,良 
2017-04-27 ,良 
2017-04-28 ,良 
2017-04-29 ,良 
2017-04-30 ,轻度污染 
2017-05-01 ,良 
2017-05-02 ,轻度污染 
2017-05-03 ,良 
2017-05-04 ,严重污染 
2017-05-05 ,严重污染 
2017-05-06 ,良 
2017-05-07 ,良 
2017-05-08 ,轻度污染 
2017-05-09 ,良 
2017-05-10 ,良 
2017-05-11 ,良 
2017-05-12 ,轻度污染 
2017-05-13 ,良 
2017-05-14 ,良 
2017-05-15 ,良 
2017-05-16 ,轻度污染 
2017-05-17 ,中度污染 
2017-05-18 ,重度污染 
2017-05-19 ,中度污染 
2017-05-20 ,中度污染 
2017-05-21 ,轻度污染 
2017-05-22 ,良 
2017-05-23 ,良 
2017-05-24 ,良 
2017-05-25 ,良 
2017-05-26 ,轻度污染 
2017-05-27 ,中度污染 
2017-05-28 ,中度污染 
2017-05-29 ,良 
2017-05-30 ,良 
2017-05-31 ,轻度污染 
2017-06-01 ,轻度污染 
2017-06-02 ,良 
2017-06-03 ,良 
2017-06-04 ,轻度污染 
2017-06-05 ,轻度污染 
2017-06-06 ,良 
2017-06-07 ,良 
2017-06-08 ,良 
2017-06-09 ,轻度污染 
2017-06-10 ,良 
2017-06-11 ,轻度污染 
2017-06-12 ,良 
2017-06-13 ,良 
2017-06-14 ,轻度污染 
2017-06-15 ,中度污染 
2017-06-16 ,中度污染 
2017-06-17 ,中度污染 
2017-06-18 ,中度污染 
2017-06-19 ,中度污染 
2017-06-20 ,中度污染 
2017-06-21 ,中度污染 
2017-06-22 ,良 
2017-06-23 ,良 
2017-06-24 ,良 
2017-06-25 ,轻度污染 
2017-06-26 ,轻度污染 
2017-06-27 ,中度污染 
2017-06-28 ,中度污染 
2017-06-29 ,轻度污染 
2017-06-30 ,中度污染 
2016-07-01 ,良 
2016-07-02 ,轻度污染 
2016-07-03 ,轻度污染 
2016-07-04 ,中度污染 
2016-07-05 ,中度污染 
2016-07-06 ,中度污染 
2016-07-07 ,中度污染 
2016-07-08 ,轻度污染 
2016-07-09 ,轻度污染 
2016-07-10 ,轻度污染 
2016-07-11 ,轻度污染 
2016-07-12 ,良 
2016-07-13 ,轻度污染 
2016-07-14 ,良 
2016-07-15 ,良 
2016-07-16 ,良 
2016-07-17 ,中度污染 
2016-07-18 ,轻度污染 
2016-07-19 ,轻度污染 
2016-07-20 ,优 
2016-07-21 ,优 
2016-07-22 ,良 
2016-07-23 ,中度污染 
2016-07-24 ,轻度污染 
2016-07-25 ,良 
2016-07-26 ,良 
2016-07-27 ,中度污染 
2016-07-28 ,轻度污染 
2016-07-29 ,中度污染 
2016-07-30 ,中度污染 
2016-07-31 ,良 
2017-08-01 ,良 
2017-08-02 ,良 
2017-08-03 ,良 
2017-08-04 ,轻度污染 
2017-08-05 ,轻度污染 
2017-08-06 ,良 
2017-08-07 ,良 
2017-08-08 ,中度污染 
2017-08-09 ,良 
2017-08-10 ,轻度污染 
2017-08-11 ,轻度污染 
2017-08-12 ,优 
2017-08-13 ,良 
2017-08-14 ,良 
2017-08-15 ,轻度污染 
2017-08-16 ,良 
2017-08-17 ,良 
2017-08-18 ,良 
2017-08-19 ,良 
2017-08-20 ,良 
2017-08-21 ,轻度污染 
2017-08-22 ,良 
2017-08-23 ,良 
2017-08-24 ,优 
2017-08-25 ,优 
2017-08-26 ,良 
2017-08-27 ,优 
2017-08-28 ,优 
2017-08-29 ,良 
2017-08-30 ,良 
2017-08-31 ,轻度污染 
2017-09-01 ,中度污染 
2017-09-02 ,轻度污染 
2017-09-03 ,良 
2017-09-04 ,轻度污染 
2017-09-05 ,良 
2017-09-06 ,良 
2017-09-07 ,轻度污染 
2017-09-08 ,中度污染 
2017-09-09 ,轻度污染 
2017-09-10 ,轻度污染 
2017-09-11 ,优 
2017-09-12 ,良 
2017-09-13 ,轻度污染 
2017-09-14 ,轻度污染 
2017-09-15 ,良 
2017-09-16 ,轻度污染 
2017-09-17 ,优 
2017-09-18 ,良 
2017-09-19 ,良 
2017-09-20 ,良 
2017-09-21 ,良 
2017-09-22 ,良 
2017-09-23 ,轻度污染 
2017-09-24 ,轻度污染 
2017-09-25 ,轻度污染 
2017-09-26 ,良 
2017-09-27 ,良 
2017-09-28 ,优 
2017-09-29 ,良 
2017-09-30 ,轻度污染 
2017-10-01 ,良 
2017-10-02 ,优 
2017-10-03 ,优 
2017-10-04 ,良 
2017-10-05 ,良 
2017-10-06 ,良 
2017-10-07 ,轻度污染 
2017-10-08 ,中度污染 
2017-10-09 ,优 
2017-10-10 ,优 
2017-10-11 ,优 
2017-10-12 ,优 
2017-10-13 ,良 
2017-10-14 ,良 
2017-10-15 ,良 
2017-10-16 ,良 
2017-10-17 ,良 
2017-10-18 ,良 
2017-10-19 ,良 
2017-10-20 ,轻度污染 
2017-10-21 ,良 
2017-10-22 ,良 
2017-10-23 ,良 
2017-10-24 ,良 
2017-10-25 ,轻度污染 
2017-10-26 ,重度污染 
2017-10-27 ,重度污染 
2017-10-28 ,良 
2017-10-29 ,优 
2017-10-30 ,良 
2017-10-31 ,良 
2017-11-01 ,良 
2017-11-02 ,良 
2017-11-03 ,优 
2017-11-04 ,良 
2017-11-05 ,轻度污染 
2017-11-06 ,重度污染 
2017-11-07 ,轻度污染 
2017-11-08 ,良 
2017-11-09 ,良 
2017-11-10 ,优 
2017-11-11 ,优 
2017-11-12 ,良 
2017-11-13 ,良 
2017-11-14 ,优 
2017-11-15 ,优 
2017-11-16 ,良 
2017-11-17 ,良 
2017-11-18 ,良 
2017-11-19 ,轻度污染 
2017-11-20 ,轻度污染 
2017-11-21 ,中度污染 
2017-11-22 ,优 
2017-11-23 ,优 
2017-11-24 ,良 
2017-11-25 ,良 
2017-11-26 ,优 
2017-11-27 ,良 
2017-11-28 ,良 
2017-11-29 ,优 
2017-11-30 ,良 
2017-12-01 ,良 
2017-12-02 ,重度污染 
2017-12-03 ,良 
2017-12-04 ,优 
2017-12-05 ,良 
2017-12-06 ,良 
2017-12-07 ,优 
2017-12-08 ,良 
2017-12-09 ,良 
2017-12-10 ,优 
2017-12-11 ,优 
2017-12-12 ,优 
2017-12-13 ,良 
2017-12-14 ,良 
2017-12-15 ,良 
2017-12-16 ,优 
2017-12-17 ,良 
2017-12-18 ,优 
2017-12-19 ,良 
2017-12-20 ,良 
2017-12-21 ,良 
2017-12-22 ,良 
2017-12-23 ,良 
2017-12-24 ,优 
2017-12-25 ,良 
2017-12-26 ,良 
2017-12-27 ,良 
2017-12-28 ,轻度污染 
2017-12-29 ,重度污染 
2017-12-30 ,轻度污染 
2017-12-31 ,良 
